Date,Date,Open,High,Low,Close
2019-03-25,606,2301.0,2320.0,2301.0,2320.0
2019-03-26,607,2320.0,2350.0,2320.0,2350.0
2019-03-27,608,2350.0,2350.0,2350.0,2350.0
2019-04-02,609,2330.0,2330.0,2330.0,2330.0
2019-04-08,610,2300.0,2300.0,2300.0,2300.0
2019-04-09,611,2300.0,2300.0,2300.0,2300.0
2019-04-10,612,2300.0,2310.0,2298.0,2298.0
2019-04-11,613,2298.0,2298.0,2298.0,2298.0
2019-04-15,614,2300.0,2300.0,2300.0,2300.0
2019-04-16,615,2299.0,2299.0,2299.0,2299.0
2019-04-18,616,2251.0,2251.0,2251.0,2251.0
2019-04-22,617,2298.0,2298.0,2298.0,2298.0
2019-04-23,618,2262.0,2262.0,2262.0,2262.0
2019-04-24,619,2262.0,2262.0,2262.0,2262.0
2019-05-06,620,2280.0,2280.0,2280.0,2280.0
2019-05-07,621,2290.0,2300.0,2290.0,2300.0
2019-05-15,622,2275.0,2275.0,2275.0,2275.0
2019-05-16,623,2300.0,2300.0,2230.0,2250.0
2019-05-17,624,2280.0,2280.0,2250.0,2250.0
2019-05-20,625,2280.0,2280.0,2280.0,2280.0
2019-05-21,626,2280.0,2280.0,2280.0,2280.0
2019-05-22,627,2249.0,2290.0,2249.0,2290.0
2019-05-23,628,2288.0,2289.0,2288.0,2289.0
2019-05-24,629,2289.0,2289.0,2289.0,2289.0
2019-05-28,630,2207.0,2207.0,2207.0,2207.0
2019-05-30,631,2210.0,2210.0,2210.0,2210.0
2019-05-31,632,2210.0,2210.0,2210.0,2210.0
2019-06-07,633,2200.0,2200.0,2200.0,2200.0
2019-06-18,634,2130.0,2130.0,2130.0,2130.0
2019-06-19,635,2130.0,2130.0,2130.0,2130.0
2019-06-20,636,2067.0,2068.0,2067.0,2067.0
2019-06-21,637,2067.0,2067.0,2067.0,2067.0
2019-06-24,638,2090.0,2090.0,2090.0,2090.0
2019-06-25,639,2090.0,2090.0,2090.0,2090.0
2019-06-26,640,2090.0,2090.0,2090.0,2090.0
2019-06-27,641,2150.0,2150.0,2150.0,2150.0
2019-06-28,642,2200.0,2200.0,2200.0,2200.0
2019-07-08,643,2150.0,2150.0,2150.0,2150.0
2019-07-09,644,2150.0,2150.0,2150.0,2150.0
2019-07-12,645,2150.0,2150.0,2150.0,2150.0
2019-07-16,646,2102.0,2102.0,2100.0,2100.0
2019-07-17,647,2100.0,2100.0,2100.0,2100.0
2019-07-18,648,2100.0,2101.0,2100.0,2100.0
2019-07-22,649,2080.0,2080.0,2070.0,2070.0
2019-07-23,650,2070.0,2070.0,2070.0,2070.0
2019-07-24,651,2100.0,2100.0,2100.0,2100.0
2019-07-26,652,2100.0,2100.0,2100.0,2100.0
2019-07-29,653,2100.0,2100.0,2100.0,2100.0
2019-07-30,654,2160.0,2300.0,2160.0,2290.0
2019-07-31,655,2290.0,2290.0,2250.0,2250.0
2019-08-05,656,2250.0,2250.0,2250.0,2250.0
2019-08-06,657,2270.0,2299.0,2270.0,2299.0
2019-08-07,658,2269.0,2270.0,2269.0,2270.0
2019-08-08,659,2270.0,2279.0,2270.0,2279.0
2019-08-09,660,2299.0,2300.0,2299.0,2300.0
2019-08-12,661,2341.0,2341.0,2341.0,2341.0
2019-08-13,662,2341.0,2341.0,2341.0,2341.0
2019-08-14,663,2271.0,2271.0,2271.0,2271.0
2019-08-15,664,2299.0,2300.0,2250.0,2250.0
2019-08-20,665,2297.0,2297.0,2250.0,2250.0
2019-08-22,666,2250.0,2250.0,2250.0,2250.0
2019-08-23,667,2250.0,2250.0,2250.0,2250.0
2019-08-27,668,2250.0,2250.0,2250.0,2250.0
2019-08-29,669,2250.0,2250.0,2250.0,2250.0
2019-09-04,670,2111.0,2111.0,2111.0,2111.0
2019-09-05,671,2111.0,2111.0,2111.0,2111.0
2019-09-10,672,2200.0,2200.0,2200.0,2200.0
2019-09-16,673,2200.0,2200.0,2200.0,2200.0
2019-09-23,674,2200.0,2200.0,2200.0,2200.0
2019-09-24,675,2200.0,2200.0,2180.0,2180.0
2019-09-25,676,2180.0,2180.0,2180.0,2180.0
2019-10-01,677,2180.0,2180.0,2180.0,2180.0
2019-10-02,678,2230.0,2230.0,2230.0,2230.0
2019-10-03,679,2230.0,2230.0,2230.0,2230.0
2019-10-04,680,2200.0,2200.0,2200.0,2200.0
2019-10-07,681,2200.0,2200.0,2200.0,2200.0
2019-10-08,682,2200.0,2250.0,2200.0,2250.0
2019-10-09,683,2276.0,2355.0,2276.0,2355.0
2019-10-10,684,2355.0,2355.0,2355.0,2355.0
2019-10-14,685,2250.0,2250.0,2250.0,2250.0
2019-10-15,686,2250.0,2310.0,2250.0,2310.0
2019-10-16,687,2310.0,2310.0,2310.0,2310.0
2019-10-17,688,2189.0,2189.0,2189.0,2189.0
2019-10-18,689,2151.0,2152.0,2150.0,2150.0
2019-10-25,690,2150.0,2150.0,2150.0,2150.0
2019-10-28,691,2150.0,2150.0,2150.0,2150.0
2019-10-30,692,2150.0,2150.0,2150.0,2150.0
2019-10-31,693,2150.0,2150.0,2150.0,2150.0
2019-11-08,694,2296.0,2296.0,2296.0,2296.0
2019-11-11,695,2340.0,2350.0,2340.0,2350.0
2019-11-20,696,2300.0,2300.0,2300.0,2300.0
2019-11-22,697,2300.0,2300.0,2300.0,2300.0
2019-11-25,698,2251.0,2251.0,2251.0,2251.0
2019-11-26,699,2250.0,2250.0,2250.0,2250.0
2019-12-02,700,2300.0,2300.0,2300.0,2300.0
2019-12-04,701,2300.0,2300.0,2300.0,2300.0
2019-12-05,702,2300.0,2300.0,2300.0,2300.0
2019-12-06,703,2300.0,2389.0,2300.0,2389.0
2019-12-09,704,2389.0,2389.0,2389.0,2389.0
2019-12-10,705,2350.0,2365.0,2350.0,2365.0
2019-12-11,706,2365.0,2365.0,2365.0,2365.0
2019-12-12,707,2360.0,2360.0,2360.0,2360.0
2019-12-13,708,2390.0,2390.0,2390.0,2390.0
2019-12-16,709,2400.0,2400.0,2400.0,2400.0
2019-12-17,710,2400.0,2400.0,2400.0,2400.0
2019-12-19,711,2250.0,2250.0,2210.0,2250.0
2019-12-20,712,2250.0,2308.0,2250.0,2308.0
2019-12-23,713,2449.0,2449.0,2449.0,2449.0
2019-12-24,714,2449.0,2449.0,2449.0,2449.0
2020-01-13,715,2390.0,2449.0,2390.0,2449.0
2020-01-14,716,2500.0,2500.0,2500.0,2500.0
2020-01-15,717,2570.0,2570.0,2570.0,2570.0
2020-01-16,718,2390.0,2390.0,2390.0,2390.0
2020-01-17,719,2390.0,2390.0,2390.0,2390.0
2020-01-21,720,2320.0,2320.0,2320.0,2320.0
2020-01-22,721,2450.0,2450.0,2450.0,2450.0
2020-02-05,722,2400.0,2400.0,2400.0,2400.0
2020-02-06,723,2400.0,2400.0,2400.0,2400.0
2020-02-07,724,2400.0,2400.0,2400.0,2400.0
2020-02-10,725,2291.0,2291.0,2291.0,2291.0
2020-02-11,726,2290.0,2290.0,2290.0,2290.0
2020-02-12,727,2290.0,2290.0,2290.0,2290.0
2020-02-13,728,2290.0,2290.0,2240.0,2240.0
2020-02-14,729,2240.0,2240.0,2240.0,2240.0
2020-02-19,730,2221.0,2221.0,2221.0,2221.0
2020-02-20,731,2221.0,2221.0,2221.0,2221.0
2020-02-21,732,2200.0,2200.0,2200.0,2200.0
2020-02-24,733,2200.0,2200.0,2200.0,2200.0
2020-02-25,734,2200.0,2200.0,2200.0,2200.0
2020-02-26,735,2199.0,2200.0,2199.0,2200.0
2020-02-27,736,2200.0,2200.0,2200.0,2200.0
2020-03-03,737,2200.0,2299.0,2150.0,2299.0
2020-03-05,738,2252.0,2252.0,2250.0,2250.0
2020-03-06,739,2300.0,2300.0,2290.0,2298.0
2020-03-09,740,2197.0,2197.0,2132.0,2132.0
2020-03-10,741,2132.0,2132.0,2132.0,2132.0
2020-03-11,742,2150.0,2150.0,2090.0,2150.0
2020-03-12,743,1950.0,1950.0,1950.0,1950.0
2020-03-13,744,2000.0,2000.0,2000.0,2000.0
2020-03-16,745,2000.0,2000.0,2000.0,2000.0
2020-03-17,746,1900.0,1900.0,1900.0,1900.0
2020-03-18,747,1805.0,1805.0,1805.0,1805.0
2020-03-19,748,1715.0,1715.0,1715.0,1715.0
2020-03-20,749,1740.0,1740.0,1630.0,1630.0
2020-03-23,750,1608.0,1608.0,1608.0,1608.0
2020-03-24,751,1550.0,1551.0,1550.0,1550.0
2020-03-25,752,1620.0,1626.0,1620.0,1620.0
2020-03-26,753,1782.0,1782.0,1782.0,1782.0
2020-03-27,754,1782.0,1782.0,1782.0,1782.0
2020-03-31,755,1811.0,1959.0,1811.0,1959.0
2020-04-01,756,1959.0,1959.0,1959.0,1959.0
2020-04-07,757,1885.0,1885.0,1885.0,1885.0
2020-04-08,758,1830.0,1830.0,1800.0,1800.0
2020-04-09,759,1830.0,1830.0,1830.0,1830.0
2020-04-13,760,1800.0,1800.0,1800.0,1800.0
2020-04-16,761,1800.0,1800.0,1800.0,1800.0
2020-04-21,762,1800.0,1800.0,1800.0,1800.0
2020-04-22,763,1854.0,1854.0,1854.0,1854.0
2020-04-23,764,1900.0,1900.0,1900.0,1900.0
2020-04-27,765,1950.0,1950.0,1950.0,1950.0
2020-04-28,766,1950.0,1950.0,1950.0,1950.0
2020-04-29,767,1950.0,1950.0,1950.0,1950.0
2020-05-04,768,1900.0,1900.0,1900.0,1900.0
2020-05-05,769,1957.0,1957.0,1957.0,1957.0
2020-05-06,770,1957.0,1957.0,1957.0,1957.0
2020-05-12,771,2015.0,2015.0,2015.0,2015.0
2020-05-13,772,2015.0,2015.0,2015.0,2015.0
2020-05-15,773,2000.0,2000.0,2000.0,2000.0
2020-05-19,774,1980.0,2000.0,1980.0,2000.0
2020-05-20,775,2000.0,2000.0,2000.0,2000.0
2020-05-22,776,2021.0,2021.0,2021.0,2021.0
2020-05-26,777,2021.0,2021.0,2021.0,2021.0
2020-05-27,778,2080.0,2089.0,2050.0,2089.0
2020-05-28,779,2089.0,2089.0,2089.0,2089.0
2020-05-29,780,2076.0,2076.0,2075.0,2075.0
2020-06-01,781,2075.0,2075.0,2075.0,2075.0
2020-06-04,782,2015.0,2015.0,2015.0,2015.0
2020-06-11,783,2015.0,2015.0,2015.0,2015.0
2020-06-16,784,2000.0,2000.0,1999.0,2000.0
2020-06-17,785,2000.0,2000.0,2000.0,2000.0
2020-06-19,786,2000.0,2000.0,2000.0,2000.0
2020-06-22,787,2000.0,2000.0,2000.0,2000.0
2020-06-23,788,0.04050000011920929,0.04050000011920929,0.04050000011920929,0.04050000011920929
2020-06-26,789,2010.0,2010.0,2000.0,2000.0
2020-06-30,790,2060.0,2060.0,2060.0,2060.0
2020-07-01,791,2060.0,2060.0,2060.0,2060.0
2020-07-06,792,2200.0,2200.0,2200.0,2200.0
2020-07-07,793,2200.0,2200.0,2200.0,2200.0
2020-07-08,794,2250.0,2250.0,2250.0,2250.0
2020-07-21,795,2200.0,2200.0,2200.0,2200.0
2020-07-22,796,2248.0,2248.0,2248.0,2248.0
2020-07-23,797,2248.0,2248.0,2248.0,2248.0
2020-07-28,798,2200.0,2200.0,2200.0,2200.0
2020-07-30,799,2399.0,2399.0,2399.0,2399.0
2020-08-13,800,2200.0,2200.0,2200.0,2200.0
2020-08-14,801,2266.0,2266.0,2266.0,2266.0
2020-08-17,802,2300.0,2300.0,2299.0,2300.0
2020-08-18,803,2300.0,2300.0,2300.0,2300.0
2020-08-19,804,2449.0,2449.0,2400.0,2400.0
2020-09-03,805,2425.0,2425.0,2425.0,2425.0
2020-09-11,806,2399.0,2400.0,2399.0,2400.0
2020-09-14,807,2399.0,2400.0,2399.0,2400.0
2020-09-18,808,2401.0,2401.0,2400.0,2400.0
2020-09-23,809,2400.0,2400.0,2400.0,2400.0
2020-09-25,810,2400.0,2400.0,2400.0,2400.0
2020-10-01,811,2390.0,2450.0,2390.0,2450.0
2020-10-08,812,2400.0,2400.0,2400.0,2400.0
2020-10-15,813,2360.0,2395.0,2360.0,2395.0
2020-10-16,814,2395.0,2395.0,2395.0,2395.0
2020-10-22,815,2380.0,2380.0,2380.0,2380.0
2020-10-23,816,2380.0,2380.0,2380.0,2380.0
2020-10-28,817,2260.0,2260.0,2260.0,2260.0
2020-10-29,818,2260.0,2260.0,2260.0,2260.0
2020-11-03,819,2419.0,2450.0,2400.0,2450.0
